Parent Information,Name of Class,Date
28,LinkedIn-1,1/11/21
28,LinkedIn-2,1/13/21
168,STEAM PA - 1st Grade,1/13/21
235,STEAM PA - 2nd Grade,1/13/21
230,STEAM PA - 2nd Grade (recording),1/13/21
225,STEAM PA - 2nd Grade,1/13/21
246,STEAM PA - 2nd Grade (recording),1/13/21
227,STEAM PA - 1st Grade,1/13/21
222,STEAM PA - 1st Grade,1/14/21
164,STEAM PA - 1st Grade,1/14/21
169,STEAM PA - 1st Grade,1/14/21
237,STEAM PA - 1st Grade,1/14/21
238,STEAM PA - 1st Grade (recording),1/14/21
239,STEAM PA - 1st Grade,1/14/21
228,STEAM PA - 1st Grade (recording),1/14/21
232,STEAM PA - 1st Grade,1/14/21
259,STEAM PA - 1st Grade (recording),1/14/21
24,Parent Support Group,1/19/21
43,Parent Support Group,1/19/21
28,Parent Support Group,1/19/21
4,Parent Support Group,1/19/21
138,Parent Support Group,1/19/21
23,Parent Support Group,1/19/21
14,Parent Support Group,1/19/21
31,Parent Support Group,1/19/21
30,Parent Support Group,1/19/21
38,Parent Support Group,1/19/21
132,Parent Support Group,1/19/21
17,Parent Support Group,1/19/21
173,Orientation ,1/20/21
175,Orientation ,1/20/21
177,Orientation ,1/20/21
176,Orientation ,1/20/21
174,Orientation ,1/20/21
178,Orientation ,1/20/21
179,Orientation ,1/20/21
180,Orientation ,1/20/21
181,Orientation ,1/20/21
246,STEAM PA - 2nd Grade (recording),1/20/21
235,STEAM PA - 2nd Grade (recording),1/20/21
178,"Zoom-1, Zoom-2",1/21/21
169,STEAM PA - 1st Grade (recording),1/21/21
262,STEAM PA - 1st Grade,1/21/21
232,STEAM PA - 1st Grade,1/21/21
164,STEAM PA - 1st Grade,1/21/21
226,STEAM PA - 1st Grade,1/21/21
250,STEAM PA - 1st Grade,1/21/21
18,SMART Goals Pt. 1,1/25/21
28,SMART Goals Pt. 1,1/25/21
84,SMART Goals Pt. 1,1/25/21
14,SMART Goals Pt. 1,1/25/21
31,SMART Goals Pt. 1,1/25/21
30,SMART Goals Pt. 1,1/25/21
4,SMART Goals Pt. 1,1/25/21
3,SMART Goals Pt. 1,1/25/21
17,SMART Goals Pt. 1,1/25/21
38,SMART Goals Pt. 1,1/25/21
177,"Google Drive-1, Google Drive-2",1/25/21
42,"Google Drive-1, Google Drive-2",1/25/21
178,"Google Drive-1, Google Drive-2",1/25/21
139,"Google Drive-1, Google Drive-2",1/25/21
180,Zoom-1,1/25/21
182,Zoom-1,1/25/21
14,Zoom-1,1/25/21
187,Zoom-1,1/25/21
182,Zoom-2,1/27/21
183,Zoom-2,1/27/21
178,"Google Drive-3 Pt. 1, Google Drive-3 Pt. 2",1/27/21
14,"Google Drive-3 Pt. 1, Google Drive-3 Pt. 2",1/27/21
42,"Google Drive-3 Pt. 1, Google Drive-3 Pt. 2",1/27/21
265,STEAM PA - 2nd Grade,1/27/21
